"Country","variable","value"
"Zambia","PercentUnderweightChildrenLT5_1998_2002","19.6"
"Zimbabwe","PercentUnderweightChildrenLT5_1998_2002","11.5"
"Afghanistan","PercentUnderweightChildrenLT5_2003_2007","32.8"
"Albania","PercentUnderweightChildrenLT5_2003_2007","6.6"
"Algeria","PercentUnderweightChildrenLT5_2003_2007","3.7"
"Angola","PercentUnderweightChildrenLT5_2003_2007","15.1"
"Argentina","PercentUnderweightChildrenLT5_2003_2007","2.3"
"Armenia","PercentUnderweightChildrenLT5_2003_2007","4.2"
"Azerbaijan","PercentUnderweightChildrenLT5_2003_2007","8.4"
"Bahrain","PercentUnderweightChildrenLT5_2003_2007",NA
"Bangladesh","PercentUnderweightChildrenLT5_2003_2007","37.3"
"Belarus","PercentUnderweightChildrenLT5_2003_2007","1.3"
"Benin","PercentUnderweightChildrenLT5_2003_2007","20.2"
"Bhutan","PercentUnderweightChildrenLT5_2003_2007","14.3"
"Bolivia","PercentUnderweightChildrenLT5_2003_2007","5.9"
"Bosnia & Herzegovina","PercentUnderweightChildrenLT5_2003_2007","1.6"
"Botswana","PercentUnderweightChildrenLT5_2003_2007","11.2"
"Brazil","PercentUnderweightChildrenLT5_2003_2007","3"
"Bulgaria","PercentUnderweightChildrenLT5_2003_2007","2.2"
"Burkina Faso","PercentUnderweightChildrenLT5_2003_2007","37.6"
"Burundi","PercentUnderweightChildrenLT5_2003_2007","35.2"
"Cambodia","PercentUnderweightChildrenLT5_2003_2007","28.4"
"Cameroon","PercentUnderweightChildrenLT5_2003_2007","15.9"
"Central African Republic","PercentUnderweightChildrenLT5_2003_2007","28"
"Chad","PercentUnderweightChildrenLT5_2003_2007","33.9"
"Chile","PercentUnderweightChildrenLT5_2003_2007","0.6"
"China","PercentUnderweightChildrenLT5_2003_2007","4.5"
"Colombia","PercentUnderweightChildrenLT5_2003_2007","5.1"
"Comoros","PercentUnderweightChildrenLT5_2003_2007","22.1"
"Congo, Dem. Rep.","PercentUnderweightChildrenLT5_2003_2007","28.2"
"Congo, Rep.","PercentUnderweightChildrenLT5_2003_2007","11.8"
"Costa Rica","PercentUnderweightChildrenLT5_2003_2007","1.5"
"Croatia","PercentUnderweightChildrenLT5_2003_2007","0.4"
"Cuba","PercentUnderweightChildrenLT5_2003_2007","3.5"
"Côte d'Ivoire","PercentUnderweightChildrenLT5_2003_2007","16.7"
"Djibouti","PercentUnderweightChildrenLT5_2003_2007","29.6"
"Dominican Republic","PercentUnderweightChildrenLT5_2003_2007","4.6"
"Ecuador","PercentUnderweightChildrenLT5_2003_2007","6.2"
"Egypt, Arab Rep.","PercentUnderweightChildrenLT5_2003_2007","5.4"
"El Salvador","PercentUnderweightChildrenLT5_2003_2007","6.1"
"Eritrea","PercentUnderweightChildrenLT5_2003_2007","33.9"
"Estonia","PercentUnderweightChildrenLT5_2003_2007","0.8"
"Ethiopia","PercentUnderweightChildrenLT5_2003_2007","34.6"
"Fiji","PercentUnderweightChildrenLT5_2003_2007","5.3"
"Gabon","PercentUnderweightChildrenLT5_2003_2007","8.2"
"Gambia, The","PercentUnderweightChildrenLT5_2003_2007","15.8"
"Georgia","PercentUnderweightChildrenLT5_2003_2007","2.3"
"Ghana","PercentUnderweightChildrenLT5_2003_2007","13.9"
"Guatemala","PercentUnderweightChildrenLT5_2003_2007","17"
"Guinea","PercentUnderweightChildrenLT5_2003_2007","22.5"
"Guinea-Bissau","PercentUnderweightChildrenLT5_2003_2007","17.4"
"Guyana","PercentUnderweightChildrenLT5_2003_2007","10.8"
"Haiti","PercentUnderweightChildrenLT5_2003_2007","18.9"
"Honduras","PercentUnderweightChildrenLT5_2003_2007","8.6"
"India","PercentUnderweightChildrenLT5_2003_2007","43.5"
"Indonesia","PercentUnderweightChildrenLT5_2003_2007","24.4"
"Iran, Islamic Rep.","PercentUnderweightChildrenLT5_2003_2007","4.6"
"Iraq","PercentUnderweightChildrenLT5_2003_2007","7.6"
"Jamaica","PercentUnderweightChildrenLT5_2003_2007","3.4"
"Jordan","PercentUnderweightChildrenLT5_2003_2007","3"
"Kazakhstan","PercentUnderweightChildrenLT5_2003_2007","4.9"
"Kenya","PercentUnderweightChildrenLT5_2003_2007","18.4"
"Kuwait","PercentUnderweightChildrenLT5_2003_2007","2.7"
"Kyrgyz Republic","PercentUnderweightChildrenLT5_2003_2007","2.7"
"Lao PDR","PercentUnderweightChildrenLT5_2003_2007","31.6"
"Latvia","PercentUnderweightChildrenLT5_2003_2007","0.9"
"Lebanon","PercentUnderweightChildrenLT5_2003_2007","4.2"
"Lesotho","PercentUnderweightChildrenLT5_2003_2007","16.6"
"Liberia","PercentUnderweightChildrenLT5_2003_2007","20.4"
"Libya","PercentUnderweightChildrenLT5_2003_2007","5.6"
"Lithuania","PercentUnderweightChildrenLT5_2003_2007","0.7"
"Macedonia, FYR","PercentUnderweightChildrenLT5_2003_2007","1.8"
"Madagascar","PercentUnderweightChildrenLT5_2003_2007","36.8"
"Malawi","PercentUnderweightChildrenLT5_2003_2007","18.4"
"Malaysia","PercentUnderweightChildrenLT5_2003_2007","12.9"
"Mali","PercentUnderweightChildrenLT5_2003_2007","27.9"
"Mauritania","PercentUnderweightChildrenLT5_2003_2007","23.2"
"Mauritius","PercentUnderweightChildrenLT5_2003_2007","10.4"
"Mexico","PercentUnderweightChildrenLT5_2003_2007","3.4"
"Moldova","PercentUnderweightChildrenLT5_2003_2007","3.2"
"Mongolia","PercentUnderweightChildrenLT5_2003_2007","5.3"
"Montenegro","PercentUnderweightChildrenLT5_2003_2007","2.2"
"Morocco","PercentUnderweightChildrenLT5_2003_2007","9.9"
"Mozambique","PercentUnderweightChildrenLT5_2003_2007","21.2"
"Myanmar","PercentUnderweightChildrenLT5_2003_2007","29.6"
"Namibia","PercentUnderweightChildrenLT5_2003_2007","17.5"
"Nepal","PercentUnderweightChildrenLT5_2003_2007","38.8"
"Nicaragua","PercentUnderweightChildrenLT5_2003_2007","4.3"
"Niger","PercentUnderweightChildrenLT5_2003_2007","39.9"
"Nigeria","PercentUnderweightChildrenLT5_2003_2007","26.5"
"North Korea","PercentUnderweightChildrenLT5_2003_2007","20.6"
"Oman","PercentUnderweightChildrenLT5_2003_2007","10.4"
"Pakistan","PercentUnderweightChildrenLT5_2003_2007","30.8"
"Panama","PercentUnderweightChildrenLT5_2003_2007","5.1"
"Papua New Guinea","PercentUnderweightChildrenLT5_2003_2007","18"
"Paraguay","PercentUnderweightChildrenLT5_2003_2007","3.4"
"Peru","PercentUnderweightChildrenLT5_2003_2007","5.4"
"Philippines","PercentUnderweightChildrenLT5_2003_2007","20.7"
"Qatar","PercentUnderweightChildrenLT5_2003_2007","0.6"
"Romania","PercentUnderweightChildrenLT5_2003_2007","3.3"
"Russian Federation","PercentUnderweightChildrenLT5_2003_2007","0.7"
"Rwanda","PercentUnderweightChildrenLT5_2003_2007","18"
"Saudi Arabia","PercentUnderweightChildrenLT5_2003_2007","5.3"
"Senegal","PercentUnderweightChildrenLT5_2003_2007","14.5"
"Serbia","PercentUnderweightChildrenLT5_2003_2007","1.8"
"Sierra Leone","PercentUnderweightChildrenLT5_2003_2007","28.3"
"Slovak Republic","PercentUnderweightChildrenLT5_2003_2007","3.3"
"Somalia","PercentUnderweightChildrenLT5_2003_2007","32.8"
"South Africa","PercentUnderweightChildrenLT5_2003_2007","11.6"
"Sri Lanka","PercentUnderweightChildrenLT5_2003_2007","21.1"
"Sudan (former)","PercentUnderweightChildrenLT5_2003_2007","31.7"
"Suriname","PercentUnderweightChildrenLT5_2003_2007","7.5"
"Swaziland","PercentUnderweightChildrenLT5_2003_2007","6.1"
"Syrian Arab Republic","PercentUnderweightChildrenLT5_2003_2007","10"
"Tajikistan","PercentUnderweightChildrenLT5_2003_2007","14.9"
"Tanzania","PercentUnderweightChildrenLT5_2003_2007","16.7"
"Thailand","PercentUnderweightChildrenLT5_2003_2007","7"
"Timor-Leste","PercentUnderweightChildrenLT5_2003_2007","41.5"
"Togo","PercentUnderweightChildrenLT5_2003_2007","22.3"
"Trinidad & Tobago","PercentUnderweightChildrenLT5_2003_2007","3.4"
"Tunisia","PercentUnderweightChildrenLT5_2003_2007","3.3"
"Turkey","PercentUnderweightChildrenLT5_2003_2007","3.5"
"Turkmenistan","PercentUnderweightChildrenLT5_2003_2007","8"
"Uganda","PercentUnderweightChildrenLT5_2003_2007","16.4"
"Ukraine","PercentUnderweightChildrenLT5_2003_2007","0.7"
"Uruguay","PercentUnderweightChildrenLT5_2003_2007","6"
"Uzbekistan","PercentUnderweightChildrenLT5_2003_2007","4.4"
"Venezuela, RB","PercentUnderweightChildrenLT5_2003_2007","4.1"
"Vietnam","PercentUnderweightChildrenLT5_2003_2007","22.7"
"Yemen, Rep.","PercentUnderweightChildrenLT5_2003_2007","43.1"
"Zambia","PercentUnderweightChildrenLT5_2003_2007","14.9"
"Zimbabwe","PercentUnderweightChildrenLT5_2003_2007","14"
"Afghanistan","PercentUnderweightChildrenLT5_2009_2013","25"
"Albania","PercentUnderweightChildrenLT5_2009_2013","6.3"
"Algeria","PercentUnderweightChildrenLT5_2009_2013","3.6"
"Angola","PercentUnderweightChildrenLT5_2009_2013","11.3"
"Argentina","PercentUnderweightChildrenLT5_2009_2013","2.3"
"Armenia","PercentUnderweightChildrenLT5_2009_2013","5.3"
"Azerbaijan","PercentUnderweightChildrenLT5_2009_2013","4.1"
"Bahrain","PercentUnderweightChildrenLT5_2009_2013",NA
"Bangladesh","PercentUnderweightChildrenLT5_2009_2013","36.8"
"Belarus","PercentUnderweightChildrenLT5_2009_2013","0.8"
"Benin","PercentUnderweightChildrenLT5_2009_2013","18.4"
"Bhutan","PercentUnderweightChildrenLT5_2009_2013","12.8"
"Bolivia","PercentUnderweightChildrenLT5_2009_2013","4.4"
"Bosnia & Herzegovina","PercentUnderweightChildrenLT5_2009_2013","1.5"
"Botswana","PercentUnderweightChildrenLT5_2009_2013","9.2"
"Brazil","PercentUnderweightChildrenLT5_2009_2013","2.1"
"Bulgaria","PercentUnderweightChildrenLT5_2009_2013","1.8"
"Burkina Faso","PercentUnderweightChildrenLT5_2009_2013","24.4"
"Burundi","PercentUnderweightChildrenLT5_2009_2013","29.1"
"Cambodia","PercentUnderweightChildrenLT5_2009_2013","29"
"Cameroon","PercentUnderweightChildrenLT5_2009_2013","15.1"
"Central African Republic","PercentUnderweightChildrenLT5_2009_2013","23.5"
"Chad","PercentUnderweightChildrenLT5_2009_2013","30.3"
"Chile","PercentUnderweightChildrenLT5_2009_2013","0.5"
"China","PercentUnderweightChildrenLT5_2009_2013","3.4"
"Colombia","PercentUnderweightChildrenLT5_2009_2013","3.4"
"Comoros","PercentUnderweightChildrenLT5_2009_2013","15.3"
"Congo, Dem. Rep.","PercentUnderweightChildrenLT5_2009_2013","24.2"
"Congo, Rep.","PercentUnderweightChildrenLT5_2009_2013","11.6"
"Costa Rica","PercentUnderweightChildrenLT5_2009_2013","1.1"
"Croatia","PercentUnderweightChildrenLT5_2009_2013","0.3"
"Cuba","PercentUnderweightChildrenLT5_2009_2013","2.1"
"Côte d'Ivoire","PercentUnderweightChildrenLT5_2009_2013","15.7"
"Djibouti","PercentUnderweightChildrenLT5_2009_2013","29.8"
"Dominican Republic","PercentUnderweightChildrenLT5_2009_2013","2.8"
"Ecuador","PercentUnderweightChildrenLT5_2009_2013","5"
"Egypt, Arab Rep.","PercentUnderweightChildrenLT5_2009_2013","4.5"
"El Salvador","PercentUnderweightChildrenLT5_2009_2013","5.1"
"Eritrea","PercentUnderweightChildrenLT5_2009_2013","34.8"
"Estonia","PercentUnderweightChildrenLT5_2009_2013","0.7"
"Ethiopia","PercentUnderweightChildrenLT5_2009_2013","29.2"
"Fiji","PercentUnderweightChildrenLT5_2009_2013","6.3"
"Gabon","PercentUnderweightChildrenLT5_2009_2013","6.5"
"Gambia, The","PercentUnderweightChildrenLT5_2009_2013","17.4"
"Georgia","PercentUnderweightChildrenLT5_2009_2013","1.1"
"Ghana","PercentUnderweightChildrenLT5_2009_2013","13.4"
"Guatemala","PercentUnderweightChildrenLT5_2009_2013","13"
"Guinea","PercentUnderweightChildrenLT5_2009_2013","17.5"
"Guinea-Bissau","PercentUnderweightChildrenLT5_2009_2013","18.1"
"Guyana","PercentUnderweightChildrenLT5_2009_2013","11.1"
"Haiti","PercentUnderweightChildrenLT5_2009_2013","11.6"
"Honduras","PercentUnderweightChildrenLT5_2009_2013","7.1"
"India","PercentUnderweightChildrenLT5_2009_2013","30.7"
"Indonesia","PercentUnderweightChildrenLT5_2009_2013","18.6"
"Iran, Islamic Rep.","PercentUnderweightChildrenLT5_2009_2013","4.1"
"Iraq","PercentUnderweightChildrenLT5_2009_2013","8.5"
"Jamaica","PercentUnderweightChildrenLT5_2009_2013","3.2"
"Jordan","PercentUnderweightChildrenLT5_2009_2013","3"
"Kazakhstan","PercentUnderweightChildrenLT5_2009_2013","3.7"
"Kenya","PercentUnderweightChildrenLT5_2009_2013","16.4"
"Kuwait","PercentUnderweightChildrenLT5_2009_2013","2.2"
"Kyrgyz Republic","PercentUnderweightChildrenLT5_2009_2013","3.7"
"Lao PDR","PercentUnderweightChildrenLT5_2009_2013","26.5"
"Latvia","PercentUnderweightChildrenLT5_2009_2013","0.7"
"Lebanon","PercentUnderweightChildrenLT5_2009_2013","3.2"
"Lesotho","PercentUnderweightChildrenLT5_2009_2013","13.5"
"Liberia","PercentUnderweightChildrenLT5_2009_2013","14.3"
"Libya","PercentUnderweightChildrenLT5_2009_2013","4.9"
"Lithuania","PercentUnderweightChildrenLT5_2009_2013","0.6"
"Macedonia, FYR","PercentUnderweightChildrenLT5_2009_2013","1.3"
"Madagascar","PercentUnderweightChildrenLT5_2009_2013","32.8"
"Malawi","PercentUnderweightChildrenLT5_2009_2013","13.8"
"Malaysia","PercentUnderweightChildrenLT5_2009_2013","11.8"
"Mali","PercentUnderweightChildrenLT5_2009_2013","18.9"
"Mauritania","PercentUnderweightChildrenLT5_2009_2013","19.5"
"Mauritius","PercentUnderweightChildrenLT5_2009_2013","8.2"
"Mexico","PercentUnderweightChildrenLT5_2009_2013","2.8"
"Moldova","PercentUnderweightChildrenLT5_2009_2013","2.3"
"Mongolia","PercentUnderweightChildrenLT5_2009_2013","4.7"
"Montenegro","PercentUnderweightChildrenLT5_2009_2013","0.7"
"Morocco","PercentUnderweightChildrenLT5_2009_2013","3.1"
"Mozambique","PercentUnderweightChildrenLT5_2009_2013","15.6"
"Myanmar","PercentUnderweightChildrenLT5_2009_2013","22.6"
"Namibia","PercentUnderweightChildrenLT5_2009_2013","17.5"
"Nepal","PercentUnderweightChildrenLT5_2009_2013","29.1"
"Nicaragua","PercentUnderweightChildrenLT5_2009_2013","4.8"
"Niger","PercentUnderweightChildrenLT5_2009_2013","37.9"
"Nigeria","PercentUnderweightChildrenLT5_2009_2013","24.4"
"North Korea","PercentUnderweightChildrenLT5_2009_2013","15.2"
"Oman","PercentUnderweightChildrenLT5_2009_2013","8.6"
"Pakistan","PercentUnderweightChildrenLT5_2009_2013","31.6"
"Panama","PercentUnderweightChildrenLT5_2009_2013","3.3"
"Papua New Guinea","PercentUnderweightChildrenLT5_2009_2013","27.2"
"Paraguay","PercentUnderweightChildrenLT5_2009_2013","2"
"Peru","PercentUnderweightChildrenLT5_2009_2013","3.4"
"Philippines","PercentUnderweightChildrenLT5_2009_2013","20.2"
"Qatar","PercentUnderweightChildrenLT5_2009_2013","0.3"
"Romania","PercentUnderweightChildrenLT5_2009_2013","2.6"
"Russian Federation","PercentUnderweightChildrenLT5_2009_2013","0.6"
"Rwanda","PercentUnderweightChildrenLT5_2009_2013","11.7"
"Saudi Arabia","PercentUnderweightChildrenLT5_2009_2013","4.9"
"Senegal","PercentUnderweightChildrenLT5_2009_2013","15.7"
"Serbia","PercentUnderweightChildrenLT5_2009_2013","1.6"
"Sierra Leone","PercentUnderweightChildrenLT5_2009_2013","19.9"
"Slovak Republic","PercentUnderweightChildrenLT5_2009_2013","2.4"
"Somalia","PercentUnderweightChildrenLT5_2009_2013",NA
"South Africa","PercentUnderweightChildrenLT5_2009_2013","7.9"
"Sri Lanka","PercentUnderweightChildrenLT5_2009_2013","21.6"
"Sudan (former)","PercentUnderweightChildrenLT5_2009_2013","31.2"
"Suriname","PercentUnderweightChildrenLT5_2009_2013","5.8"
"Swaziland","PercentUnderweightChildrenLT5_2009_2013","5.8"
"Syrian Arab Republic","PercentUnderweightChildrenLT5_2009_2013","10.1"
"Tajikistan","PercentUnderweightChildrenLT5_2009_2013","13.3"
"Tanzania","PercentUnderweightChildrenLT5_2009_2013","13.6"
"Thailand","PercentUnderweightChildrenLT5_2009_2013","8"
"Timor-Leste","PercentUnderweightChildrenLT5_2009_2013","45.3"
"Togo","PercentUnderweightChildrenLT5_2009_2013","16.5"
"Trinidad & Tobago","PercentUnderweightChildrenLT5_2009_2013","2.4"
"Tunisia","PercentUnderweightChildrenLT5_2009_2013","2"
"Turkey","PercentUnderweightChildrenLT5_2009_2013","2.6"
"Turkmenistan","PercentUnderweightChildrenLT5_2009_2013","5.8"
"Uganda","PercentUnderweightChildrenLT5_2009_2013","14.1"
"Ukraine","PercentUnderweightChildrenLT5_2009_2013","1.1"
"Uruguay","PercentUnderweightChildrenLT5_2009_2013","4"
"Uzbekistan","PercentUnderweightChildrenLT5_2009_2013","4.2"
"Venezuela, RB","PercentUnderweightChildrenLT5_2009_2013","2.9"
"Vietnam","PercentUnderweightChildrenLT5_2009_2013","12"
"Yemen, Rep.","PercentUnderweightChildrenLT5_2009_2013","35.5"
"Zambia","PercentUnderweightChildrenLT5_2009_2013","17.7"
"Zimbabwe","PercentUnderweightChildrenLT5_2009_2013","10.1"
"Afghanistan","MortalityUnder5_1990","17.6"
"Albania","MortalityUnder5_1990","4.3"
"Algeria","MortalityUnder5_1990","5"
"Angola","MortalityUnder5_1990","21.3"
"Argentina","MortalityUnder5_1990","2.8"
"Armenia","MortalityUnder5_1990",NA
"Azerbaijan","MortalityUnder5_1990",NA
"Bahrain","MortalityUnder5_1990","2.3"
"Bangladesh","MortalityUnder5_1990","14.4"
"Belarus","MortalityUnder5_1990",NA
"Benin","MortalityUnder5_1990","18.1"
"Bhutan","MortalityUnder5_1990","13.1"
"Bolivia","MortalityUnder5_1990","12.3"
"Bosnia & Herzegovina","MortalityUnder5_1990",NA
"Botswana","MortalityUnder5_1990","4.8"
"Brazil","MortalityUnder5_1990","6.2"
"Bulgaria","MortalityUnder5_1990","2.2"
"Burkina Faso","MortalityUnder5_1990","20.2"
"Burundi","MortalityUnder5_1990","16.4"
"Cambodia","MortalityUnder5_1990","11.6"
"Cameroon","MortalityUnder5_1990","13.5"
"Central African Republic","MortalityUnder5_1990","17.1"
"Chad","MortalityUnder5_1990","20.9"
"Chile","MortalityUnder5_1990","1.9"
"China","MortalityUnder5_1990","5.4"
"Colombia","MortalityUnder5_1990","3.5"
"Comoros","MortalityUnder5_1990","12.4"
"Congo, Dem. Rep.","MortalityUnder5_1990","17.1"
"Congo, Rep.","MortalityUnder5_1990","10"
"Costa Rica","MortalityUnder5_1990","1.7"
"Croatia","MortalityUnder5_1990",NA
"Cuba","MortalityUnder5_1990","1.3"
"Côte d'Ivoire","MortalityUnder5_1990","15.2"
"Djibouti","MortalityUnder5_1990","11.9"
"Dominican Republic","MortalityUnder5_1990","6"
"Ecuador","MortalityUnder5_1990","5.6"
"Egypt, Arab Rep.","MortalityUnder5_1990","8.6"
"El Salvador","MortalityUnder5_1990","5.9"
"Eritrea","MortalityUnder5_1990",NA
"Estonia","MortalityUnder5_1990",NA
"Ethiopia","MortalityUnder5_1990","20.4"
"Fiji","MortalityUnder5_1990","3.1"
"Gabon","MortalityUnder5_1990","9.2"
"Gambia, The","MortalityUnder5_1990","17"
"Georgia","MortalityUnder5_1990",NA
"Ghana","MortalityUnder5_1990","12.8"
"Guatemala","MortalityUnder5_1990","8"
"Guinea","MortalityUnder5_1990","24.1"
"Guinea-Bissau","MortalityUnder5_1990","20.6"
"Guyana","MortalityUnder5_1990","6"
"Haiti","MortalityUnder5_1990","14.4"
"Honduras","MortalityUnder5_1990","5.9"
"India","MortalityUnder5_1990","12.6"
"Indonesia","MortalityUnder5_1990","8.4"
"Iran, Islamic Rep.","MortalityUnder5_1990","5.6"
"Iraq","MortalityUnder5_1990","5.3"
"Jamaica","MortalityUnder5_1990","3"
"Jordan","MortalityUnder5_1990","3.7"
"Kazakhstan","MortalityUnder5_1990",NA
"Kenya","MortalityUnder5_1990","9.8"
"Kuwait","MortalityUnder5_1990","1.6"
"Kyrgyz Republic","MortalityUnder5_1990",NA
"Lao PDR","MortalityUnder5_1990","16.3"
"Latvia","MortalityUnder5_1990",NA
"Lebanon","MortalityUnder5_1990","3.3"
"Lesotho","MortalityUnder5_1990","8.5"
"Liberia","MortalityUnder5_1990","24.8"
"Libya","MortalityUnder5_1990","4.3"
"Lithuania","MortalityUnder5_1990",NA
"Macedonia, FYR","MortalityUnder5_1990",NA
"Madagascar","MortalityUnder5_1990","15.9"
"Malawi","MortalityUnder5_1990","24.4"
"Malaysia","MortalityUnder5_1990","1.7"
"Mali","MortalityUnder5_1990","25.3"
"Mauritania","MortalityUnder5_1990","12.8"
"Mauritius","MortalityUnder5_1990","2.3"
"Mexico","MortalityUnder5_1990","4.6"
"Moldova","MortalityUnder5_1990",NA
"Mongolia","MortalityUnder5_1990","10.7"
"Montenegro","MortalityUnder5_1990",NA
"Morocco","MortalityUnder5_1990","8"
"Mozambique","MortalityUnder5_1990","23.3"
"Myanmar","MortalityUnder5_1990","10.6"
"Namibia","MortalityUnder5_1990","7.3"
"Nepal","MortalityUnder5_1990","14.2"
"Nicaragua","MortalityUnder5_1990","6.6"
"Niger","MortalityUnder5_1990","32.6"
"Nigeria","MortalityUnder5_1990","21.3"
"North Korea","MortalityUnder5_1990","4.4"
"Oman","MortalityUnder5_1990","3.9"
"Pakistan","MortalityUnder5_1990","13.8"
"Panama","MortalityUnder5_1990","3.2"
"Papua New Guinea","MortalityUnder5_1990","8.9"
"Paraguay","MortalityUnder5_1990","4.6"
"Peru","MortalityUnder5_1990","7.9"
"Philippines","MortalityUnder5_1990","5.9"
"Qatar","MortalityUnder5_1990","2.1"
"Romania","MortalityUnder5_1990","3.8"
"Russian Federation","MortalityUnder5_1990",NA
"Rwanda","MortalityUnder5_1990","15.1"
"Saudi Arabia","MortalityUnder5_1990","4.7"
"Senegal","MortalityUnder5_1990","14.2"
"Serbia","MortalityUnder5_1990",NA
"Sierra Leone","MortalityUnder5_1990","25.7"
"Slovak Republic","MortalityUnder5_1990",NA
"Somalia","MortalityUnder5_1990","17.7"
"South Africa","MortalityUnder5_1990","6.1"
"Sri Lanka","MortalityUnder5_1990","2.1"
"Sudan (former)","MortalityUnder5_1990","15.7"
"Suriname","MortalityUnder5_1990","5.1"
"Swaziland","MortalityUnder5_1990","7.1"
"Syrian Arab Republic","MortalityUnder5_1990","3.8"
"Tajikistan","MortalityUnder5_1990",NA
"Tanzania","MortalityUnder5_1990","16.6"
"Thailand","MortalityUnder5_1990","3.8"
"Timor-Leste","MortalityUnder5_1990",NA
"Togo","MortalityUnder5_1990","14.3"
"Trinidad & Tobago","MortalityUnder5_1990","3.3"
"Tunisia","MortalityUnder5_1990","5.1"
"Turkey","MortalityUnder5_1990","7.4"
"Turkmenistan","MortalityUnder5_1990",NA
"Uganda","MortalityUnder5_1990","17.8"
"Ukraine","MortalityUnder5_1990",NA
"Uruguay","MortalityUnder5_1990","2.3"
"Uzbekistan","MortalityUnder5_1990",NA
"Venezuela, RB","MortalityUnder5_1990","3"
"Vietnam","MortalityUnder5_1990","5.1"
"Yemen, Rep.","MortalityUnder5_1990","12.5"
"Zambia","MortalityUnder5_1990","19.2"
"Zimbabwe","MortalityUnder5_1990","7.4"
"Afghanistan","MortalityUnder5_1995","14.8"
"Albania","MortalityUnder5_1995","3.6"
"Algeria","MortalityUnder5_1995","4.4"
"Angola","MortalityUnder5_1995","21"
"Argentina","MortalityUnder5_1995","2.3"
"Armenia","MortalityUnder5_1995","3.9"
"Azerbaijan","MortalityUnder5_1995","9"
"Bahrain","MortalityUnder5_1995","1.8"
"Bangladesh","MortalityUnder5_1995","11.4"
"Belarus","MortalityUnder5_1995","1.8"
"Benin","MortalityUnder5_1995","15.8"
"Bhutan","MortalityUnder5_1995","10.4"
"Bolivia","MortalityUnder5_1995","10.1"
"Bosnia & Herzegovina","MortalityUnder5_1995","1.4"
"Botswana","MortalityUnder5_1995","6.3"
"Brazil","MortalityUnder5_1995","4.7"
"Bulgaria","MortalityUnder5_1995","2.3"
"Burkina Faso","MortalityUnder5_1995","19.9"
"Burundi","MortalityUnder5_1995","15.7"
"Cambodia","MortalityUnder5_1995","12.1"
"Cameroon","MortalityUnder5_1995","15.1"
"Central African Republic","MortalityUnder5_1995","16.8"
"Chad","MortalityUnder5_1995","20"
"Chile","MortalityUnder5_1995","1.3"
"China","MortalityUnder5_1995","4.7"
"Colombia","MortalityUnder5_1995","3"
"Comoros","MortalityUnder5_1995","10.7"
"Congo, Dem. Rep.","MortalityUnder5_1995","17.1"
"Congo, Rep.","MortalityUnder5_1995","11"
"Costa Rica","MortalityUnder5_1995","1.5"
"Croatia","MortalityUnder5_1995","1"
"Cuba","MortalityUnder5_1995","1.1"
"Côte d'Ivoire","MortalityUnder5_1995","15.2"
"Djibouti","MortalityUnder5_1995","11.3"
"Dominican Republic","MortalityUnder5_1995","4.9"
"Ecuador","MortalityUnder5_1995","4.3"
"Egypt, Arab Rep.","MortalityUnder5_1995","6.4"
"El Salvador","MortalityUnder5_1995","4.4"
"Eritrea","MortalityUnder5_1995","11.7"
"Estonia","MortalityUnder5_1995","1.6"
"Ethiopia","MortalityUnder5_1995","17.5"
"Fiji","MortalityUnder5_1995","2.7"
"Gabon","MortalityUnder5_1995","8.9"
"Gambia, The","MortalityUnder5_1995","14.1"
"Georgia","MortalityUnder5_1995","4.5"
"Ghana","MortalityUnder5_1995","11.3"
"Guatemala","MortalityUnder5_1995","6.3"
"Guinea","MortalityUnder5_1995","20.9"
"Guinea-Bissau","MortalityUnder5_1995","19.2"
"Guyana","MortalityUnder5_1995","5.3"
"Haiti","MortalityUnder5_1995","12.4"
"Honduras","MortalityUnder5_1995","4.7"
"India","MortalityUnder5_1995","10.9"
"Indonesia","MortalityUnder5_1995","6.7"
"Iran, Islamic Rep.","MortalityUnder5_1995","4.5"
"Iraq","MortalityUnder5_1995","4.9"
"Jamaica","MortalityUnder5_1995","2.6"
"Jordan","MortalityUnder5_1995","3.2"
"Kazakhstan","MortalityUnder5_1995","5.4"
"Kenya","MortalityUnder5_1995","11.1"
"Kuwait","MortalityUnder5_1995","1.4"
"Kyrgyz Republic","MortalityUnder5_1995","6.6"
"Lao PDR","MortalityUnder5_1995","14.2"
"Latvia","MortalityUnder5_1995","2.3"
"Lebanon","MortalityUnder5_1995","2.6"
"Lesotho","MortalityUnder5_1995","9.2"
"Liberia","MortalityUnder5_1995","23"
"Libya","MortalityUnder5_1995","3.4"
"Lithuania","MortalityUnder5_1995","1.7"
"Macedonia, FYR","MortalityUnder5_1995","2.5"
"Madagascar","MortalityUnder5_1995","13.7"
"Malawi","MortalityUnder5_1995","21.3"
"Malaysia","MortalityUnder5_1995","1.3"
"Mali","MortalityUnder5_1995","24"
"Mauritania","MortalityUnder5_1995","11.9"
"Mauritius","MortalityUnder5_1995","2.2"
"Mexico","MortalityUnder5_1995","3.5"
"Moldova","MortalityUnder5_1995","3.6"
"Mongolia","MortalityUnder5_1995","8.5"
"Montenegro","MortalityUnder5_1995",NA
"Morocco","MortalityUnder5_1995","6.3"
"Mozambique","MortalityUnder5_1995","20.8"
